entry_time,exit_time,entry_price,exit_price,direction,raw_return,net_return
2025-11-26 12:00:00,2025-11-27 15:45:00,5599.8,5586.77,-1,13.029999999999745,12.499999999999746
2025-11-28 09:45:00,2025-12-01 10:00:00,5569.16,5574.34,-1,-5.180000000000291,-5.710000000000291
2025-12-01 13:45:00,2025-12-02 11:00:00,5582.1,5563.98,1,-18.1200000000008,-18.6500000000008
2025-12-02 14:15:00,2025-12-04 15:15:00,5556.21,5536.53,-1,19.68000000000029,19.15000000000029
2025-12-05 10:45:00,2025-12-08 10:45:00,5540.15,5612.66,1,72.51000000000022,71.98000000000022
2025-12-08 12:15:00,2025-12-11 09:30:00,5683.62,5672.22,1,-11.399999999999636,-11.929999999999636
2025-12-11 09:45:00,2025-12-15 14:45:00,5663.42,5628.72,-1,34.69999999999982,34.16999999999982
2025-12-15 15:00:00,2025-12-19 11:30:00,5630.79,5706.92,1,76.13000000000011,75.60000000000011
2025-12-19 17:30:00,2025-12-23 11:30:00,5745.77,5772.18,1,26.409999999999854,25.879999999999853
2025-12-23 11:45:00,2025-12-26 09:00:00,5760.27,5757.16,-1,3.110000000000582,2.580000000000582
2025-12-26 09:15:00,2025-12-30 09:00:00,5767.0,5734.15,1,-32.850000000000364,-33.380000000000365
2025-12-30 09:45:00,2026-01-05 09:30:00,5715.14,5628.81,-1,86.32999999999993,85.79999999999993
2026-01-05 10:00:00,2026-01-05 12:45:00,5636.52,5601.58,1,-34.94000000000051,-35.47000000000051
2026-01-05 14:00:00,2026-01-06 15:45:00,5592.84,5557.9,-1,34.94000000000051,34.41000000000051
2026-01-09 10:15:00,2026-01-09 18:15:00,5547.62,5551.73,-1,-4.109999999999673,-4.639999999999673
2026-01-12 09:45:00,2026-01-13 17:30:00,5557.9,5545.57,1,-12.329999999999927,-12.859999999999927
2026-01-14 09:00:00,2026-01-14 11:00:00,5543.51,5572.29,-1,-28.779999999999745,-29.309999999999746
2026-01-15 12:30:00,2026-01-16 11:00:00,5546.6,5548.65,-1,-2.0499999999992724,-2.5799999999992727
2026-01-16 11:15:00,2026-01-19 10:00:00,5556.36,5528.1,1,-28.25999999999931,-28.78999999999931
2026-01-19 13:00:00,2026-01-19 18:15:00,5513.71,5536.83,-1,-23.11999999999989,-23.649999999999892
2026-01-20 09:00:00,2026-01-20 12:15:00,5540.94,5526.04,1,-14.899999999999636,-15.429999999999636
2026-01-21 09:00:00,2026-01-28 12:45:00,5522.44,5358.52,-1,163.91999999999916,163.38999999999916
2026-01-28 13:00:00,2026-01-29 09:00:00,5361.09,5335.4,1,-25.69000000000051,-26.22000000000051
