vol_regime,trend_regime,session_regime,event_type,event_direction,horizon,n,hit_rate,expectancy,exp_brl,sharpe,max_dd,pf,p_binom,p_binom_fdr,fdr_significant
LOW,TREND_UP,OPENING,INITIATION,BULLISH,3,0,,,,,,,,,False
LOW,TREND_UP,OPENING,INITIATION,BULLISH,5,0,,,,,,,,,False
LOW,TREND_UP,OPENING,INITIATION,BULLISH,7,0,,,,,,,,,False
LOW,TREND_UP,OPENING,INITIATION,BULLISH,10,0,,,,,,,,,False
LOW,TREND_UP,OPENING,INITIATION,BULLISH,15,0,,,,,,,,,False
LOW,TREND_UP,OPENING,INITIATION,BULLISH,20,0,,,,,,,,,False
LOW,TREND_UP,OPENING,INITIATION,BEARISH,3,0,,,,,,,,,False
LOW,TREND_UP,OPENING,INITIATION,BEARISH,5,0,,,,,,,,,False
LOW,TREND_UP,OPENING,INITIATION,BEARISH,7,0,,,,,,,,,False
LOW,TREND_UP,OPENING,INITIATION,BEARISH,10,0,,,,,,,,,False
LOW,TREND_UP,OPENING,INITIATION,BEARISH,15,0,,,,,,,,,False
LOW,TREND_UP,OPENING,INITIATION,BEARISH,20,0,,,,,,,,,False
LOW,TREND_UP,OPENING,INITIATION,NEUTRAL,3,0,,,,,,,,,False
LOW,TREND_UP,OPENING,INITIATION,NEUTRAL,5,0,,,,,,,,,False
LOW,TREND_UP,OPENING,INITIATION,NEUTRAL,7,0,,,,,,,,,False
LOW,TREND_UP,OPENING,INITIATION,NEUTRAL,10,0,,,,,,,,,False
LOW,TREND_UP,OPENING,INITIATION,NEUTRAL,15,0,,,,,,,,,False
LOW,TREND_UP,OPENING,INITIATION,NEUTRAL,20,0,,,,,,,,,False
LOW,TREND_UP,OPENING,ABSORPTION,BULLISH,3,0,,,,,,,,,False
LOW,TREND_UP,OPENING,ABSORPTION,BULLISH,5,0,,,,,,,,,False
LOW,TREND_UP,OPENING,ABSORPTION,BULLISH,7,0,,,,,,,,,False
LOW,TREND_UP,OPENING,ABSORPTION,BULLISH,10,0,,,,,,,,,False
LOW,TREND_UP,OPENING,ABSORPTION,BULLISH,15,0,,,,,,,,,False
